,vector,stance,ID
0,[[0. 0. 0. ... 0. 0. 0.]],unrelated,0
1,[[0. 0. 0. ... 0. 0. 0.]],unrelated,0
2,[[0. 0. 0. ... 0. 0. 0.]],discuss,4
3,[[0. 0. 0. ... 0. 0. 0.]],discuss,4
4,[[0.4472136 0.        0.        ... 0.        0.        0.       ]],unrelated,5
5,[[0. 0. 0. ... 0. 0. 0.]],unrelated,5
6,[[0.33333333 0.         0.         ... 0.         0.         0.        ]],discuss,6
7,[[0.33333333 0.         0.         ... 0.         0.         0.        ]],discuss,6
8,[[0. 0. 0. ... 0. 0. 0.]],unrelated,7
9,[[0.5 0.  0.  ... 0.  0.  0. ]],unrelated,7
10,[[0. 0. 0. ... 0. 0. 0.]],unrelated,8
11,[[0. 0. 0. ... 0. 0. 0.]],unrelated,8
12,[[0. 0. 0. ... 0. 0. 0.]],agree,9
13,[[0.         0.37796447 0.         ... 0.         0.         0.        ]],agree,9
14,[[0. 0. 0. ... 0. 0. 0.]],unrelated,10
15,[[0. 0. 0. ... 0. 0. 0.]],unrelated,10
16,[[0. 0. 0. ... 0. 0. 0.]],unrelated,11
17,[[0. 0. 0. ... 0. 0. 0.]],unrelated,11
18,[[0. 0. 0. ... 0. 0. 0.]],unrelated,13
19,[[0. 0. 0. ... 0. 0. 0.]],unrelated,13
20,[[0.33333333 0.         0.33333333 ... 0.         0.         0.        ]],discuss,14
21,[[0.33333333 0.         0.33333333 ... 0.         0.         0.        ]],discuss,14
22,[[0.37796447 0.         0.         ... 0.         0.         0.        ]],unrelated,15
23,[[0. 0. 0. ... 0. 0. 0.]],unrelated,15
24,[[0. 0. 0. ... 0. 0. 0.]],agree,16
25,[[0. 0. 0. ... 0. 0. 0.]],agree,16
26,[[0. 0. 0. ... 0. 0. 0.]],unrelated,17
27,[[0. 0. 0. ... 0. 0. 0.]],unrelated,17
28,[[0. 0. 0. ... 0. 0. 0.]],agree,18
29,[[0. 0. 0. ... 0. 0. 0.]],agree,18
30,[[0.        0.        0.2773501 ... 0.        0.        0.       ]],unrelated,22
31,[[0. 0. 0. ... 0. 0. 0.]],unrelated,22
32,[[0. 0. 0. ... 0. 0. 0.]],unrelated,23
33,[[0. 0. 0. ... 0. 0. 0.]],unrelated,23
34,[[0. 0. 0. ... 0. 0. 0.]],agree,24
35,[[0. 0. 0. ... 0. 0. 0.]],agree,24
36,[[0. 0. 0. ... 0. 0. 0.]],agree,25
37,[[0. 0. 0. ... 0. 0. 0.]],agree,25
38,[[0. 0. 0. ... 0. 0. 0.]],unrelated,26
39,[[0. 0. 0. ... 0. 0. 0.]],unrelated,26
40,[[0. 0. 0. ... 0. 0. 0.]],unrelated,27
41,[[0. 0. 0. ... 0. 0. 0.]],agree,27
42,[[0. 0. 0. ... 0. 0. 0.]],unrelated,29
43,[[0. 0. 0. ... 0. 0. 0.]],unrelated,29
44,[[0. 0. 0. ... 0. 0. 0.]],unrelated,30
45,[[0. 0. 0. ... 0. 0. 0.]],unrelated,30
46,[[0.         0.         0.37796447 ... 0.         0.         0.        ]],unrelated,32
47,[[0. 0. 0. ... 0. 0. 0.]],discuss,32
48,[[0.         0.40824829 0.         ... 0.         0.         0.        ]],unrelated,34
49,[[0. 0. 0. ... 0. 0. 0.]],unrelated,34
50,[[0. 0. 0. ... 0. 0. 0.]],unrelated,35
51,[[0. 0. 0. ... 0. 0. 0.]],unrelated,35
52,[[0. 0. 0. ... 0. 0. 0.]],unrelated,36
53,[[0. 0. 0. ... 0. 0. 0.]],unrelated,36
54,[[0. 0. 0. ... 0. 0. 0.]],unrelated,40
55,[[0. 0. 0. ... 0. 0. 0.]],unrelated,40
56,[[0. 0. 0. ... 0. 0. 0.]],discuss,41
57,[[0. 0. 0. ... 0. 0. 0.]],discuss,41
58,[[0. 0. 0. ... 0. 0. 0.]],unrelated,43
59,[[0. 0. 0. ... 0. 0. 0.]],unrelated,43
60,[[0. 0. 0. ... 0. 0. 0.]],agree,44
61,[[0. 0. 0. ... 0. 0. 0.]],agree,44
62,[[0. 0. 0. ... 0. 0. 0.]],unrelated,45
63,[[0. 0. 0. ... 0. 0. 0.]],unrelated,45
64,[[0. 0. 0. ... 0. 0. 0.]],unrelated,47
65,[[0. 0. 0. ... 0. 0. 0.]],discuss,47
66,[[0. 0. 0. ... 0. 0. 0.]],agree,48
67,[[0. 0. 0. ... 0. 0. 0.]],unrelated,48
68,[[0. 0. 0. ... 0. 0. 0.]],unrelated,51
69,[[0.2773501 0.2773501 0.        ... 0.        0.        0.       ]],unrelated,51
70,[[0. 0. 0. ... 0. 0. 0.]],discuss,53
71,[[0. 0. 0. ... 0. 0. 0.]],discuss,53
72,[[0. 0. 0. ... 0. 0. 0.]],unrelated,54
73,[[0. 0. 0. ... 0. 0. 0.]],unrelated,54
74,[[0.33333333 0.         0.33333333 ... 0.         0.         0.        ]],unrelated,55
75,[[0. 0. 0. ... 0. 0. 0.]],unrelated,55
76,[[0. 0. 0. ... 0. 0. 0.]],unrelated,56
77,[[0.        0.2773501 0.        ... 0.        0.        0.       ]],unrelated,56
78,[[0. 0. 0. ... 0. 0. 0.]],discuss,59
79,[[0. 0. 0. ... 0. 0. 0.]],discuss,59
80,[[0. 0. 0. ... 0. 0. 0.]],unrelated,60
81,[[0. 0. 0. ... 0. 0. 0.]],unrelated,60
82,[[0. 0. 0. ... 0. 0. 0.]],unrelated,61
83,[[0. 0. 0. ... 0. 0. 0.]],unrelated,61
84,[[0. 0. 0. ... 0. 0. 0.]],unrelated,62
85,[[0.5 0.  0.  ... 0.  0.  0. ]],unrelated,62
86,[[0. 0. 0. ... 0. 0. 0.]],discuss,63
87,[[0. 0. 0. ... 0. 0. 0.]],discuss,63
88,[[0. 0. 0. ... 0. 0. 0.]],agree,65
89,[[0. 0. 0. ... 0. 0. 0.]],agree,65
90,[[0. 0. 0. ... 0. 0. 0.]],unrelated,68
91,[[0.40824829 0.         0.40824829 ... 0.         0.         0.        ]],unrelated,68
92,[[0. 0. 0. ... 0. 0. 0.]],agree,70
93,[[0. 0. 0. ... 0. 0. 0.]],agree,70
94,[[0.         0.35355339 0.         ... 0.         0.         0.        ]],unrelated,72
95,[[0. 0. 0. ... 0. 0. 0.]],unrelated,72
96,[[0. 0. 0. ... 0. 0. 0.]],discuss,74
97,[[0. 0. 0. ... 0. 0. 0.]],discuss,74
98,[[0.4472136 0.        0.        ... 0.        0.        0.       ]],unrelated,75
99,[[0.40824829 0.         0.         ... 0.         0.         0.        ]],unrelated,75
100,[[0.40824829 0.         0.         ... 0.         0.         0.        ]],discuss,76
101,[[0.40824829 0.         0.         ... 0.         0.         0.        ]],discuss,76
102,[[0. 0. 0. ... 0. 0. 0.]],unrelated,77
103,[[0. 0. 0. ... 0. 0. 0.]],unrelated,77
104,[[0. 0. 0. ... 0. 0. 0.]],unrelated,78
105,[[0. 0. 0. ... 0. 0. 0.]],unrelated,78
106,[[0. 0. 0. ... 0. 0. 0.]],unrelated,80
107,[[0.37796447 0.         0.         ... 0.         0.         0.        ]],unrelated,80
108,[[0. 0. 0. ... 0. 0. 0.]],unrelated,81
109,[[0. 0. 0. ... 0. 0. 0.]],unrelated,81
110,[[0. 0. 0. ... 0. 0. 0.]],unrelated,82
111,[[0. 0. 0. ... 0. 0. 0.]],agree,82
112,[[0. 0. 0. ... 0. 0. 0.]],disagree,83
113,[[0. 0. 0. ... 0. 0. 0.]],disagree,83
114,[[0. 0. 0. ... 0. 0. 0.]],discuss,84
115,[[0. 0. 0. ... 0. 0. 0.]],unrelated,84
116,[[0.         0.37796447 0.         ... 0.         0.         0.        ]],unrelated,86
117,[[0.         0.         0.33333333 ... 0.         0.         0.        ]],unrelated,86
118,[[0.57735027 0.         0.         ... 0.         0.         0.        ]],unrelated,87
119,[[0. 0. 0. ... 0. 0. 0.]],unrelated,87
120,[[0. 0. 0. ... 0. 0. 0.]],unrelated,88
121,[[0. 0. 0. ... 0. 0. 0.]],unrelated,88
122,[[0.         0.28867513 0.         ... 0.         0.         0.        ]],unrelated,89
123,[[0. 0. 0. ... 0. 0. 0.]],unrelated,89
124,[[0. 0. 0. ... 0. 0. 0.]],agree,91
125,[[0. 0. 0. ... 0. 0. 0.]],unrelated,91
126,[[0.         0.37796447 0.         ... 0.         0.         0.        ]],unrelated,93
127,[[0.37796447 0.         0.         ... 0.         0.         0.        ]],unrelated,93
128,[[0. 0. 0. ... 0. 0. 0.]],agree,95
129,[[0. 0. 0. ... 0. 0. 0.]],agree,95
130,[[0. 0. 0. ... 0. 0. 0.]],unrelated,99
131,[[0. 0. 0. ... 0. 0. 0.]],unrelated,99
132,[[0. 0. 0. ... 0. 0. 0.]],unrelated,104
133,[[0.33333333 0.         0.         ... 0.         0.         0.        ]],unrelated,104
134,[[0. 0. 0. ... 0. 0. 0.]],unrelated,105
135,[[0. 0. 0. ... 0. 0. 0.]],unrelated,105
136,[[0. 0. 0. ... 0. 0. 0.]],unrelated,107
137,[[0. 0. 0. ... 0. 0. 0.]],unrelated,107
138,[[0. 0. 0. ... 0. 0. 0.]],agree,108
139,[[0.40824829 0.         0.         ... 0.         0.         0.        ]],discuss,108
140,[[0. 0. 0. ... 0. 0. 0.]],discuss,109
141,[[0. 0. 0. ... 0. 0. 0.]],discuss,109
142,[[0. 0. 0. ... 0. 0. 0.]],discuss,110
143,[[0. 0. 0. ... 0. 0. 0.]],discuss,110
144,[[0. 0. 0. ... 0. 0. 0.]],discuss,112
145,[[0. 0. 0. ... 0. 0. 0.]],discuss,112
146,[[0. 0. 0. ... 0. 0. 0.]],agree,114
147,[[0. 0. 0. ... 0. 0. 0.]],agree,114
148,[[0. 0. 0. ... 0. 0. 0.]],unrelated,115
149,[[0. 0. 0. ... 0. 0. 0.]],unrelated,115
150,[[0. 0. 0. ... 0. 0. 0.]],unrelated,116
151,[[0. 0. 0. ... 0. 0. 0.]],unrelated,116
152,[[0. 0. 0. ... 0. 0. 0.]],discuss,117
153,[[0. 0. 0. ... 0. 0. 0.]],discuss,117
154,[[0. 0. 0. ... 0. 0. 0.]],agree,118
155,[[0. 0. 0. ... 0. 0. 0.]],agree,118
156,[[0. 0. 0. ... 0. 0. 0.]],unrelated,119
157,[[0. 0. 0. ... 0. 0. 0.]],unrelated,119
158,[[0. 0. 0. ... 0. 0. 0.]],discuss,120
159,[[0. 0. 0. ... 0. 0. 0.]],unrelated,120
160,[[0. 0. 0. ... 0. 0. 0.]],unrelated,121
161,[[0. 0. 0. ... 0. 0. 0.]],unrelated,121
162,[[0. 0. 0. ... 0. 0. 0.]],agree,124
163,[[0. 0. 0. ... 0. 0. 0.]],disagree,124
164,[[0. 0. 0. ... 0. 0. 0.]],unrelated,125
165,[[0. 0. 0. ... 0. 0. 0.]],unrelated,125
166,[[0. 0. 0. ... 0. 0. 0.]],unrelated,126
167,[[0. 0. 0. ... 0. 0. 0.]],unrelated,126
168,[[0.35355339 0.         0.         ... 0.         0.         0.        ]],unrelated,130
169,[[0. 0. 0. ... 0. 0. 0.]],unrelated,130
170,[[0. 0. 0. ... 0. 0. 0.]],unrelated,132
171,[[0. 0. 0. ... 0. 0. 0.]],unrelated,132
172,[[0. 0. 0. ... 0. 0. 0.]],agree,134
173,[[0. 0. 0. ... 0. 0. 0.]],agree,134
174,[[0. 0. 0. ... 0. 0. 0.]],agree,135
175,[[0. 0. 0. ... 0. 0. 0.]],agree,135
176,[[0. 0. 0. ... 0. 0. 0.]],agree,136
177,[[0. 0. 0. ... 0. 0. 0.]],agree,136
178,[[0.33333333 0.         0.         ... 0.         0.         0.        ]],unrelated,137
179,[[0. 0. 0. ... 0. 0. 0.]],unrelated,137
180,[[0. 0. 0. ... 0. 0. 0.]],unrelated,139
181,[[0. 0. 0. ... 0. 0. 0.]],unrelated,139
182,[[0.57735027 0.         0.         ... 0.         0.         0.        ]],discuss,140
183,[[0.57735027 0.         0.         ... 0.         0.         0.        ]],discuss,140
184,[[0. 0. 0. ... 0. 0. 0.]],discuss,142
185,[[0. 0. 0. ... 0. 0. 0.]],discuss,142
186,[[0. 0. 0. ... 0. 0. 0.]],unrelated,144
187,[[0. 0. 0. ... 0. 0. 0.]],unrelated,144
188,[[0. 0. 0. ... 0. 0. 0.]],agree,146
189,[[0. 0. 0. ... 0. 0. 0.]],agree,146
190,[[0. 0. 0. ... 0. 0. 0.]],unrelated,147
191,[[0. 0. 0. ... 0. 0. 0.]],unrelated,147
192,[[0. 0. 0. ... 0. 0. 0.]],agree,148
193,[[0. 0. 0. ... 0. 0. 0.]],unrelated,148
194,[[0. 0. 0. ... 0. 0. 0.]],discuss,149
195,[[0. 0. 0. ... 0. 0. 0.]],discuss,149
196,[[0. 0. 0. ... 0. 0. 0.]],agree,151
197,[[0. 0. 0. ... 0. 0. 0.]],agree,151
198,[[0. 0. 0. ... 0. 0. 0.]],agree,152
199,[[0. 0. 0. ... 0. 0. 0.]],agree,152
200,[[0. 0. 0. ... 0. 0. 0.]],agree,154
201,[[0. 0. 0. ... 0. 0. 0.]],agree,154
202,[[0.2773501 0.        0.2773501 ... 0.        0.        0.       ]],unrelated,155
203,[[0.         0.37796447 0.         ... 0.         0.         0.        ]],discuss,155
204,[[0. 0. 0. ... 0. 0. 0.]],agree,156
205,[[0. 0. 0. ... 0. 0. 0.]],agree,156
206,[[0.         0.30151134 0.30151134 ... 0.         0.         0.        ]],unrelated,158
207,[[0. 0. 0. ... 0. 0. 0.]],agree,158
208,[[0. 0. 0. ... 0. 0. 0.]],discuss,159
209,[[0. 0. 0. ... 0. 0. 0.]],discuss,159
210,[[0. 0. 0. ... 0. 0. 0.]],unrelated,161
211,[[0. 0. 0. ... 0. 0. 0.]],unrelated,161
212,[[0.57735027 0.         0.         ... 0.         0.         0.        ]],discuss,162
213,[[0.         0.33333333 0.         ... 0.         0.         0.        ]],discuss,162
214,[[0.35355339 0.         0.35355339 ... 0.         0.         0.        ]],unrelated,167
215,[[0. 0. 0. ... 0. 0. 0.]],unrelated,167
216,[[0. 0. 0. ... 0. 0. 0.]],unrelated,168
217,[[0.26726124 0.         0.         ... 0.         0.         0.        ]],unrelated,168
218,[[0. 0. 0. ... 0. 0. 0.]],unrelated,169
219,[[0. 0. 0. ... 0. 0. 0.]],unrelated,169
